,distance,distance_next,distance_prev,eval,latitude,longitude,time,vel_next_kms,vel_prev_kms
0,0.0,3.238500024468283,0.0,212.9,45.89457,-74.157678,2015-07-29 14:54:40,11.65860008808582,0.0
1,3.238500024468283,3.582123886454892,3.238500024468283,212.9,45.89453,-74.157705,2015-07-29 14:54:41,12.895645991237611,11.65860008808582
2,6.8206239109231745,2.100568512552512,3.582123886454892,212.9,45.894487,-74.157735,2015-07-29 14:54:42,7.562046645189043,12.895645991237611
3,8.921192423475686,1.994902577967942,2.100568512552512,212.9,45.894466,-74.157753,2015-07-29 14:54:43,7.181649280684591,7.562046645189043
4,10.916095001443628,4.095323855697012,1.994902577967942,212.9,45.894445,-74.15777,2015-07-29 14:54:44,14.743165880509245,7.181649280684591
5,15.01141885714064,3.926125942566249,4.095323855697012,212.9,45.894403,-74.157805,2015-07-29 14:54:45,14.134053393238496,14.743165880509245
6,18.937544799706888,4.614935842598959,3.926125942566249,212.9,45.894357,-74.157838,2015-07-29 14:54:46,16.613769033356252,14.134053393238496
7,23.552480642305845,4.489721664326947,4.614935842598959,212.9,45.894305,-74.157877,2015-07-29 14:54:47,16.162997991577008,16.613769033356252
8,28.04220230663279,4.4224147547264145,4.489721664326947,212.9,45.894255,-74.157915,2015-07-29 14:54:48,15.920693117015093,16.162997991577008
9,32.464617061359206,4.354552435060663,4.4224147547264145,212.9,45.894212,-74.157953,2015-07-29 14:54:49,15.676388766218388,15.920693117015093
10,36.81916949641987,4.25909781796474,4.354552435060663,212.9,45.894165,-74.15799,2015-07-29 14:54:50,15.332752144673064,15.676388766218388
11,41.078267314384604,4.6133051551707664,4.25909781796474,212.9,45.894108,-74.158025,2015-07-29 14:54:51,16.60789855861476,15.332752144673064
12,45.69157246955537,4.929272004789019,4.6133051551707664,212.9,45.894047,-74.158063,2015-07-29 14:54:52,17.74537921724047,16.60789855861476
13,50.62084447434439,4.916261520726233,4.929272004789019,212.9,45.893977,-74.158103,2015-07-29 14:54:53,17.69854147461444,17.74537921724047
14,55.53710599507062,5.169206722685516,4.916261520726233,212.9,45.893908,-74.158143,2015-07-29 14:54:54,18.609144201667856,17.69854147461444
15,60.706312717756134,4.777401803470829,5.169206722685516,212.9,45.893835,-74.158185,2015-07-29 14:54:55,17.198646492494984,18.609144201667856
16,65.48371452122696,8.38816794444194,4.777401803470829,212.9,45.893755,-74.158222,2015-07-29 14:54:56,30.19740459999099,17.198646492494984
17,73.8718824656689,3.823504575593764,8.38816794444194,212.9,45.893603,-74.158285,2015-07-29 14:54:57,13.76461647213755,30.19740459999099
18,77.69538704126266,3.4851553282915315,3.823504575593764,212.9,45.893525,-74.158312,2015-07-29 14:54:58,12.546559181849513,13.76461647213755
19,81.18054236955419,3.671228537643223,3.4851553282915315,212.9,45.893447,-74.158335,2015-07-29 14:54:59,13.216422735515604,12.546559181849513
20,84.8517709071974,1.9019695559749261,3.671228537643223,212.9,45.893368,-74.15836,2015-07-29 14:55:00,6.8470904015097345,13.216422735515604
21,86.75374046317233,1.8305488232067988,1.9019695559749261,212.9,45.893332,-74.158374,2015-07-29 14:55:01,6.589975763544476,6.8470904015097345
22,88.58428928637913,3.5347199090309664,1.8305488232067988,212.9,45.893295,-74.158387,2015-07-29 14:55:02,12.724991672511479,6.589975763544476
23,92.1190091954101,3.645236741364882,3.5347199090309664,212.9,45.893228,-74.158413,2015-07-29 14:55:03,13.122852268913576,12.724991672511479
24,95.76424593677498,3.323391733470357,3.645236741364882,212.9,45.893172,-74.158442,2015-07-29 14:55:04,11.964210240493285,13.122852268913576
25,99.08763767024534,3.6401462388359858,3.323391733470357,212.9,45.893118,-74.158468,2015-07-29 14:55:05,13.104526459809549,11.964210240493285
26,102.72778390908132,3.097324124532404,3.6401462388359858,212.9,45.89307,-74.158498,2015-07-29 14:55:06,11.150366848316654,13.104526459809549
27,105.82510803361373,3.3239774310371577,3.097324124532404,212.9,45.893025,-74.158523,2015-07-29 14:55:07,11.966318751733768,11.150366848316654
28,109.1490854646509,3.6046622493707505,3.3239774310371577,212.9,45.892978,-74.15855,2015-07-29 14:55:08,12.976784097734702,11.966318751733768
29,112.75374771402164,3.894647964782104,3.6046622493707505,212.9,45.892933,-74.15858,2015-07-29 14:55:09,14.020732673215575,12.976784097734702
30,116.64839567880375,4.52010451273329,3.894647964782104,212.9,45.89289,-74.158613,2015-07-29 14:55:10,16.272376245839848,14.020732673215575
31,121.16850019153705,4.618619650952802,4.52010451273329,212.9,45.892848,-74.158652,2015-07-29 14:55:11,16.627030743430087,16.272376245839848
32,125.78711984248986,4.388097083151629,4.618619650952802,212.9,45.892807,-74.158692,2015-07-29 14:55:12,15.797149499345863,16.627030743430087
33,130.17521692564148,4.594918986048021,4.388097083151629,212.9,45.892768,-74.15873,2015-07-29 14:55:13,16.541708349772875,15.797149499345863
34,134.7701359116895,9.773793534085907,4.594918986048021,212.9,45.89273,-74.15877,2015-07-29 14:55:14,35.18565672270927,16.541708349772875
35,144.5439294457754,5.339173393916294,9.773793534085907,212.9,45.892648,-74.158855,2015-07-29 14:55:15,19.22102421809866,35.18565672270927
36,149.8831028396917,5.442055041885084,5.339173393916294,212.9,45.892612,-74.158902,2015-07-29 14:55:16,19.5913981507863,19.22102421809866
37,155.32515788157679,2.718105446814972,5.442055041885084,212.9,45.892577,-74.15895,2015-07-29 14:55:17,9.7851796085339,19.5913981507863
38,158.04326332839176,2.7240303936470953,2.718105446814972,212.9,45.89256,-74.158974,2015-07-29 14:55:18,9.806509417129543,9.7851796085339
